       skill_name        | framework |  level   |        competency        | sort_order |                                                weakness_insight                                                |                                                   strength_insight                                                   |                                                                 weakness_action                                                                  |                                                                   strength_action                                                                   | is_active 
-------------------------+-----------+----------+--------------------------+------------+----------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------+-----------
 Reflective Listening    | core      | beginner | Active Listening         |          1 | Missing emotional undertones when reflecting back client sharing.                                              | Strong at reflecting both content and emotional undertones back to clients.                                          | Practice: "What I heard is [content] and it sounds like you're feeling [emotion]." Include both facts and feelings.                              | Since you excel at reflecting emotions, use this skill to help clients identify and name feelings they haven't fully recognized yet.                | t
 Emotional Attunement    | core      | beginner | Active Listening         |          2 | Focusing only on factual content while missing the emotional dimensions of client sharing.                     | Your sensitivity to emotional nuances helps clients develop greater emotional awareness and process feelings safely. | Listen for feeling words and reflect them: "I hear frustration in your voice - tell me more about that feeling."                                 | Your emotional sensitivity is a strength - use it to guide clients toward emotional breakthroughs and deeper self-awareness.                        | t
 Safety & Trust Building | core      | beginner | Active Listening         |          3 | Struggling to respond appropriately when clients share vulnerable or sensitive information.                    | Your skillful responses to vulnerability create psychological safety that allows clients to share authentically.     | When clients share something vulnerable, respond: "Thank you for trusting me with that. What feels most important about this for you right now?" | Your ability to create safety allows you to hold space for clients' most vulnerable sharing. Use this to facilitate profound healing conversations. | t
 Values-Based Questions  | core      | beginner | Powerful Questions       |          1 | Missing opportunities to help clients connect their challenges with their deeper values and what matters most. | Your values-based questions help clients connect with their core values for authentic decision-making.               | Ask: "What's most important to you about how this unfolds?" to connect challenges with deeper values.                                            | Your values-based questioning is a superpower - use it to help clients make decisions that deeply align with who they are at their core.            | t
 Perspective Questions   | core      | beginner | Powerful Questions       |          2 | Not offering questions that help clients consider alternative viewpoints or reframe their challenges.          | Your questions skillfully invite clients to consider new perspectives and challenge limiting assumptions.            | Ask: "How might someone with a different background view this situation?" to invite new perspectives.                                            | Your skill at offering new perspectives helps clients break free from limiting viewpoints. Use this to create major mindset shifts.                 | t
 Empowering Questions    | core      | beginner | Powerful Questions       |          3 | Giving advice or solutions instead of empowering clients to access their own wisdom and capabilities.          | Your empowering questions help clients access their own wisdom and feel confident in their solutions.                | Ask: "What would need to be true for you to feel completely confident in your approach?" instead of giving advice.                               | Your empowering questions help clients access their inner wisdom. Use this strength to build their confidence in their own solutions.               | t
 Energy Awareness        | core      | beginner | Present Moment Awareness |          1 | Missing client energy shifts, body language changes, and other present-moment cues during sessions.            | Your sensitivity to energy shifts helps you identify important moments and guide clients toward deeper awareness.    | Share observations: "I noticed your energy shifted when we moved to this topic. What's happening for you right now?"                             | Your sensitivity to energy shifts allows you to identify breakthrough moments. Use this skill to guide clients to their most profound insights.     | t
 Holding Space           | core      | beginner | Present Moment Awareness |          2 | Rushing to fill silence instead of allowing clients the processing time they need for insights to emerge.      | Your comfort with silence creates space for clients to process deeply and access their most profound insights.       | After asking a powerful question, count to 10 before speaking. Let silence create space for their insights to emerge.                            | Your comfort with silence creates a powerful container for transformation. Use this strength to allow clients' deepest wisdom to emerge.            | t
 Self-Awareness          | core      | beginner | Present Moment Awareness |          3 | Mind wandering during sessions instead of maintaining present-moment awareness with your client.               | Your ability to notice and redirect your attention creates a container of focused presence for your clients.         | When you notice your attention wandering, take a breath and gently redirect your focus back to your client without judgment.                     | Your present-moment awareness creates focused presence that clients can feel. Use this strength to model the awareness you want them to develop.    | t
(9 rows)

